Week,Emission_PAIMON,Emission_Wei
13,36937500.00,36937499999999998205886464
14,36383437.50,36383437499999998812618752
15,35837685.94,35837685937499999066652672
16,35300120.65,35300120648437500605366272
17,34770618.84,34770618838710935326031872
18,34249059.56,34249059556130269062758400
19,33735323.66,33735323662788314489946112
20,33229293.81,33229293807846491189936128
21,32730854.40,32730854400728792297373696
22,32239891.58,32239891584717863161692160
23,31756293.21,31756293210947093174157312
24,31279948.81,31279948812782888193884160
25,30810749.58,30810749580591140683382784
26,30348588.34,30348588336882275441442816
27,29893359.51,29893359511829042662735872
28,29444959.12,29444959119151603715670016
29,29003284.73,29003284732364330475978752
30,28568235.46,28568235461378863607578624
31,28139711.93,28139711929458181340659712
32,27717616.25,27717616250516305742921728
33,27301852.01,27301852006758561242677248
34,26892324.23,26892324226657184198426624
35,26488939.36,26488939363257327122644992
36,26091605.27,26091605272808466807783424
37,25700231.19,25700231193716341566603264
38,25314727.73,25314727725810594338570240
39,24935006.81,24935006809923435852988416
40,24560981.71,24560981707774581910011904
41,24192566.98,24192566982157959358840832
42,23829678.48,23829678477425593748029440
43,23472233.30,23472233300264207586951168
44,23120149.80,23120149800760242841059328
45,22773347.55,22773347553748840894955520
46,22431747.34,22431747340442605275054080
47,22095271.13,22095271130335968128663552
48,21763842.06,21763842063380925621731328
49,21437384.43,21437384432430216655142912
50,21115823.67,21115823665943761601429504
51,20799086.31,20799086310954602965499904
52,20487100.02,20487100016290284930334720
53,20179793.52,20179793516045930871128064
54,19877096.61,19877096613305239266656256
55,19578940.16,19578940164105661386326016
56,19285256.06,19285256061644079965929472
57,18995977.22,18995977220719419754283008
58,18711037.56,18711037562408622960410624
59,18430372.00,18430371998972493497892864
60,18153916.42,18153916418987907480551424
61,17881607.67,17881607672703087139618816
62,17613383.56,17613383557612542990745600
63,17349182.80,17349182804248351356223488
64,17088945.06,17088945062184627621330944
65,16832610.89,16832610886251860182695936
66,16580121.72,16580121722958079284215808
67,16331419.90,16331419897113708234539008
68,16086448.60,16086448598657002482171904
69,15845151.87,15845151869677149527998464
70,15607474.59,15607474591631990985850880
71,15373362.47,15373362472757508490395648
72,15142762.04,15142762035666146432122880
73,14915620.61,14915620605131156168376320
74,14691886.30,14691886296054187161550848
75,14471508.00,14471508001613374117904384
76,14254435.38,14254435381589173495398400
77,14040618.85,14040618850865335892967424
78,13830009.57,13830009568102353588977664
79,13622559.42,13622559424580819133399040
80,13418221.03,13418221033212109423378432
81,13216947.72,13216947717713923508535296
82,13018693.50,13018693501948217404686336
83,12823413.10,12823413099418993295360000
84,12631061.90,12631061902927707590623232
85,12441595.97,12441595974383791729803264
86,12254972.03,12254972034768035165241344
87,12071147.45,12071147454246513392222208
88,11890080.24,11890080242432816904667136
89,11711729.04,11711729038796324071276544
90,11536053.10,11536053103214379038408704
91,11363012.31,11363012306666162751537152
92,11192567.12,11192567122066171888664576
93,11024678.62,11024678615235177549398016
94,10859308.44,10859308436006649360023552
95,10696418.81,10696418809466551198023680
96,10535972.53,10535972527324552178434048
97,10377932.94,10377932939414683659534336
98,10222263.95,10222263945323464435433472
99,10068929.99,10068929986143610772389888
100,9917896.04,9917896036351456535642112
101,9769127.60,9769127595806185031204864
102,9622590.68,9622590681869093372428288
103,9478251.82,9478251821641054346543104
104,9336078.04,9336078044316438466920448
105,9196036.87,9196036873651692324782080
106,9058096.32,9058096320546917530468352
107,8922224.88,8922224875738714003734528
108,8788391.50,8788391502602632976924672
109,8656565.63,8656565630063593664806912
110,8526717.15,8526717145612637955948544
111,8398816.39,8398816388428450093858816
112,8272834.14,8272834142602023218970624
113,8148741.63,8148741630462991007744000
114,8026510.51,8026510506006047082151936
115,7906112.85,7906112848415956467187712
116,7787521.16,7787521155689715987382272
117,7670708.34,7670708338354370027454464
118,7555647.71,7555647713279055727951872
119,7442313.00,7442312997579868866609152
120,7330678.30,7330678302616171740921856
121,7220718.13,7220718128076927860211712
122,7112407.36,7112407356155773883252736
123,7005721.25,7005721245813437232054272
124,6900635.43,6900635427126236661415936
125,6797125.90,6797125895719342934327296
126,6695169.01,6695169007283551915212800
127,6594741.47,6594741472174298770702336
128,6495820.35,6495820350091683843538944
129,6398383.04,6398383044840308682522624
130,6302407.30,6302407299167703531520000
131,6207871.19,6207871189680188783853568
132,6114753.12,6114753121834986064838656
133,6023031.83,6023031825007460103487488
134,5932686.35,5932686347632348932079616
135,5843696.05,5843696052417863574618112
136,5756040.61,5756040611631595293507584
137,5669700.00,5669700002457121219149824
138,5584654.50,5584654502420265759145984
139,5500884.68,5500884684883960151408640
140,5418371.41,5418371414610701581287424
141,5337095.84,5337095843391539194626048
142,5257039.41,5257039405740666810007552
143,5178183.81,5178183814654557178298368
144,5100511.06,5100511057434739067584512
145,5024003.39,5024003391573217519861760
146,4948643.34,4948643340699618156478464
147,4874413.69,4874413690589124598169600
148,4801297.49,4801297485230288266067968
149,4729278.02,4729278022951833853493248
150,4658338.85,4658338852607555841032192
